Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772304228,50,,Aggregated,23.400000,0.000000,120,140,150,160,200,360,2100,2200,2200,2200,2200,1037,0,120.0,215.1836113790017,3.128099997411482,2231.731599997147,740.0916104146577
1772304229,50,,Aggregated,23.200000,0.000000,120,140,150,160,200,320,2100,2200,2200,2200,2200,1065,0,120.0,213.0214067605915,3.128099997411482,2231.731599997147,741.7201877934273
1772304230,50,,Aggregated,22.700000,0.000000,120,140,150,160,190,310,2100,2200,2200,2200,2200,1087,0,120.0,211.09722695497229,3.128099997411482,2231.731599997147,742.9411223551058
1772304231,50,,Aggregated,23.200000,0.000000,120,140,150,160,190,310,2100,2200,2200,2200,2200,1113,0,120.0,208.8052158131566,3.128099997411482,2231.731599997147,744.3207547169811
1772304232,50,,Aggregated,23.400000,0.000000,120,140,150,160,190,300,2100,2200,2200,2200,2200,1134,0,120.0,206.9228101411295,3.128099997411482,2231.731599997147,745.3827160493827
1772304233,50,,Aggregated,23.600000,0.000000,120,140,150,160,190,290,2100,2200,2200,2200,2200,1159,0,120.0,204.9356215703625,3.128099997411482,2231.731599997147,746.5970664365833
1772304234,50,,Aggregated,24.300000,0.000000,120,140,150,160,190,290,2100,2200,2200,2200,2200,1179,0,120.0,203.7059212044624,3.128099997411482,2231.731599997147,747.5335029686174
1772304235,50,,Aggregated,23.200000,0.000000,120,140,150,160,190,270,2100,2200,2200,2200,2200,1204,0,120.0,202.1125633721226,3.128099997411482,2231.731599997147,748.6586378737542
1772304236,50,,Aggregated,23.700000,0.000000,120,140,150,160,190,260,2100,2200,2200,2200,2200,1229,0,120.0,200.16755890972297,3.128099997411482,2231.731599997147,749.7379983726607
1772304237,50,,Aggregated,23.300000,0.000000,120,140,150,160,190,260,2100,2200,2200,2200,2200,1249,0,120.0,198.99777494000162,3.128099997411482,2231.731599997147,750.5740592473979
1772304238,50,,Aggregated,23.200000,0.000000,120,140,150,160,190,250,2100,2200,2200,2200,2200,1273,0,120.0,197.48809222312673,3.128099997411482,2231.731599997147,751.5388845247447
